C11,C6,C8,[5.40..5.68],C10,C12,C14,C16:0,C16:1,C18:0,C18:1
SjSjSc,0.002005368,0.001630411,0.000216983,0.004598721,0.00083903,0.00156596,0.003581442,0.002345926,0.003813575,0.003882534
SjSjSl,0.001373838,0.001528049,0.000747121,0.006396663,0.003155085,0.000813863,0.007588383,0.00186356,0.004993888,0.009196054
SjSjSj,0.001621169,0.001988343,0.000208051,0.004733581,0.004629749,0.000824902,0.00244943,0.000882763,0.001013695,0.007302902
SjSjT12,0.002400651,0.001387402,9.72889E-05,0.003848722,0.000876811,0.002924615,0.006863749,0.003974044,0.003504394,0.00406793
